Rank,Title,Score,Rating_Users,Type,Episodes,Duration,Source,Aired,Genres,Watching,Completed,On_Hold,Dropped,Plan_to_Watch,Season_Number
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,0,,12,24 min. per ep.,,"Apr 11, 2020 to Jun 27, 2020","Comedy, Romance, School, Seinen",0,0,0,0,0,1
87,Ping Pong the Animation,8.62,0,,11,23 min. per ep.,,"Apr 11, 2014 to Jun 20, 2014","Award Winning, Drama, Sports, Seinen",0,0,0,0,0,1
88,Bungou Stray Dogs 5th Season,8.62,0,,11,23 min. per ep.,,"Jul 12, 2023 to Sep 20, 2023","Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Vampire, Seinen",0,0,0,0,0,1
89,Death Note,8.62,0,,37,23 min. per ep.,,"Oct 4, 2006 to Jun 27, 2007","Supernatural, Suspense, Psychological, Shounen",0,0,0,0,0,1
90,Haikyuu!! Second Season,8.62,0,,25,24 min. per ep.,,"Oct 4, 2015 to Mar 27, 2016","Sports, School, Team Sports, Shounen",0,0,0,0,0,1
91,Cyberpunk: Edgerunners,8.61,0,,10,25 min. per ep.,Game,"Sep 13, 2022","Action, Sci-Fi, Gore, Organized Crime",0,0,0,0,0,1
92,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,0,,1,1 hr. 24 min.,,"Feb 16, 2024","Sports, School, Team Sports, Shounen",0,0,0,0,0,1
93,Hajime no Ippo: Rising,8.61,0,,25,22 min. per ep.,,"Oct 6, 2013 to Mar 30, 2014","Sports, Combat Sports, Shounen",0,0,0,0,0,1
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,0,,1,1 hr. 45 min.,,"Jan 17, 2020","Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",0,0,0,0,0,1
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,0,,12,25 min. per ep.,,"Jul 6, 2022 to Sep 28, 2022","Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore",0,0,0,0,0,1
96,Natsume Yuujinchou Roku,8.61,0,,11,23 min. per ep.,,"Apr 12, 2017 to Jun 21, 2017","Slice of Life, Supernatural, Iyashikei, Mythology, Shoujo",0,0,0,0,0,1
97,Kenpuu Denki Berserk,8.6,0,,25,23 min. per ep.,,"Oct 8, 1997 to Apr 1, 1998","Action, Adventure, Drama, Fantasy, Horror, Gore, Military, Psychological, Seinen",0,0,0,0,0,1
98,Dungeon Meshi,8.6,0,,24,25 min. per ep.,,"Jan 4, 2024 to Jun 13, 2024","Adventure, Comedy, Fantasy, Gourmet, Seinen",0,0,0,0,0,1
