Rank,Title,Score,Rating_Users,Type,Episodes,Duration,Source,Aired,Genres,Watching,Completed,On_Hold,Dropped,Plan_to_Watch,Season_Number
131,Hotaru no Haka,8.53,0,,1,1 hr. 28 min.,Novel,"Apr 16, 1988","Drama, Historical",0,0,0,0,0,1
132,Bakuman. 3rd Season,8.52,0,,25,24 min. per ep.,,"Oct 6, 2012 to Mar 30, 2013","Comedy, Drama, Romance, Otaku Culture, Shounen",0,0,0,0,0,1
133,Dandadan,8.52,0,,12,23 min. per ep.,,"Oct 4, 2024 to Dec 20, 2024","Action, Comedy, Supernatural, Shounen",0,0,0,0,0,1
134,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,0,,1,1 hr. 35 min.,,"Apr 24, 2010","Action, Comedy, Sci-Fi, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
135,Gintama. Porori-hen,8.52,0,,13,23 min. per ep.,,"Oct 2, 2017 to Dec 25, 2017","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
136,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,0,,14,24 min. per ep.,,"Dec 1, 2022","Action, Adventure, Super Power, Shounen",0,0,0,0,0,1
137,Kara no Kyoukai Movie 5: Mujun Rasen,8.51,0,,1,1 hr. 54 min.,,"Aug 16, 2008","Action, Drama, Fantasy, Mystery, Romance, Suspense, Urban Fantasy",0,0,0,0,0,1
138,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,0,,26,25 min. per ep.,,"Jan 1, 2004 to Jan 8, 2005","Action, Mystery, Sci-Fi, Adult Cast, Detective, Mecha, Military, Seinen",0,0,0,0,0,1
139,Samurai Champloo,8.51,0,,26,24 min. per ep.,Original,"May 20, 2004 to Mar 19, 2005","Action, Adventure, Comedy, Historical, Samurai",0,0,0,0,0,1
140,Shoujo☆Kageki Revue Starlight Movie,8.51,0,,1,2 hr.,Original,"Jun 4, 2021","Drama, Music, Performing Arts, School",0,0,0,0,0,1
141,Sora yori mo Tooi Basho,8.51,0,,13,23 min. per ep.,Original,"Jan 2, 2018 to Mar 27, 2018","Adventure, Comedy, Drama, CGDCT",0,0,0,0,0,1
142,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.51,0,,1,1 hr. 47 min.,Game,"May 24, 2024","Sports, Anthropomorphic, Racing",0,0,0,0,0,1
143,Tian Guan Cifu Special,8.5,0,,1,21 min.,Web novel,"Feb 16, 2021","Action, Adventure, Drama, Fantasy, Historical, Mythology",0,0,0,0,0,1
144,Yuru Camp△ Season 2,8.5,0,,13,23 min. per ep.,,"Jan 7, 2021 to Apr 1, 2021","Slice of Life, CGDCT, Iyashikei",0,0,0,0,0,1
145,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,0,,39,23 min. per ep.,,"Apr 2, 2016 to Dec 24, 2016","Action, Adventure, Super Power, Shounen",0,0,0,0,0,1
146,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,0,,1,1 hr. 56 min.,Original,"Oct 26, 2013","Award Winning, Drama, Suspense, Mahou Shoujo, Psychological",0,0,0,0,0,1
147,Mob Psycho 100,8.49,0,,12,24 min. per ep.,,"Jul 11, 2016 to Sep 27, 2016","Action, Comedy, Supernatural",0,0,0,0,0,1
148,One Punch Man,8.49,0,,12,24 min. per ep.,,"Oct 5, 2015 to Dec 21, 2015","Action, Comedy, Adult Cast, Parody, Super Power, Seinen",0,0,0,0,0,1
149,Ousama Ranking,8.49,0,,23,22 min. per ep.,,"Oct 15, 2021 to Mar 25, 2022","Adventure, Fantasy",0,0,0,0,0,1
150,Tian Guan Cifu Short Film,8.49,0,,Unknown,8 min.,Web novel,"Feb 12, 2025 to ?","Action, Adventure, Drama, Fantasy, Historical, Mythology",0,0,0,0,0,1
